Name                                           Type               Forward_MACs    FPercent    Memory       MPercent    Params      PPercent    InShape       OutShape
/layer3/layer3.4/relu/Relu                     Relu               50,176          0.00%       200,704      0.10%       0           0.00%       1x256x14x14   1x256x14x14
/layer3/layer3.4/conv2/Conv                    Conv               115,655,680     2.81%       2,561,024    1.23%       590,080     2.31%       1x256x14x14   1x256x14x14
/layer3/layer3.4/relu_1/Relu                   Relu               50,176          0.00%       200,704      0.10%       0           0.00%       1x256x14x14   1x256x14x14
/layer3/layer3.4/conv3/Conv                    Conv               51,580,928      1.25%       1,855,488    0.89%       263,168     1.03%       1x256x14x14   1x1024x14x14
/layer3/layer3.4/Add                           Add                200,704         0.00%       802,816      0.39%       0           0.00%       1x1024x14x14  1x1024x14x14
/layer3/layer3.4/relu_2/Relu                   Relu               200,704         0.00%       802,816      0.39%       0           0.00%       1x1024x14x14  1x1024x14x14
/layer3/layer3.5/conv1/Conv                    Conv               51,430,400      1.25%       1,250,304    0.60%       262,400     1.03%       1x1024x14x14  1x256x14x14
/layer3/layer3.5/relu/Relu                     Relu               50,176          0.00%       200,704      0.10%       0           0.00%       1x256x14x14   1x256x14x14
/layer3/layer3.5/conv2/Conv                    Conv               115,655,680     2.81%       2,561,024    1.23%       590,080     2.31%       1x256x14x14   1x256x14x14
/layer3/layer3.5/relu_1/Relu                   Relu               50,176          0.00%       200,704      0.10%       0           0.00%       1x256x14x14   1x256x14x14
/layer3/layer3.5/conv3/Conv                    Conv               51,580,928      1.25%       1,855,488    0.89%       263,168     1.03%       1x256x14x14   1x1024x14x14
/layer3/layer3.5/Add                           Add                200,704         0.00%       802,816      0.39%       0           0.00%       1x1024x14x14  1x1024x14x14
/layer3/layer3.5/relu_2/Relu                   Relu               200,704         0.00%       802,816      0.39%       0           0.00%       1x1024x14x14  1x1024x14x14
/layer4/layer4.0/conv1/Conv                    Conv               102,860,800     2.50%       2,500,608    1.20%       524,800     2.06%       1x1024x14x14  1x512x14x14
/layer4/layer4.0/downsample/downsample.0/Conv  Conv               102,860,800     2.50%       8,798,208    4.23%       2,099,200   8.22%       1x1024x14x14  1x2048x7x7
/layer4/layer4.0/relu/Relu                     Relu               100,352         0.00%       401,408      0.19%       0           0.00%       1x512x14x14   1x512x14x14
/layer4/layer4.0/conv2/Conv                    Conv               115,630,592     2.81%       9,539,584    4.59%       2,359,808   9.24%       1x512x14x14   1x512x7x7
/layer4/layer4.0/relu_1/Relu                   Relu               25,088          0.00%       100,352      0.05%       0           0.00%       1x512x7x7     1x512x7x7
/layer4/layer4.0/conv3/Conv                    Conv               51,480,576      1.25%       4,603,904    2.21%       1,050,624   4.12%       1x512x7x7     1x2048x7x7
/layer4/layer4.0/Add                           Add                100,352         0.00%       401,408      0.19%       0           0.00%       1x2048x7x7    1x2048x7x7
/layer4/layer4.0/relu_2/Relu                   Relu               100,352         0.00%       401,408      0.19%       0           0.00%       1x2048x7x7    1x2048x7x7
/layer4/layer4.1/conv1/Conv                    Conv               51,405,312      1.25%       4,296,704    2.07%       1,049,088   4.11%       1x2048x7x7    1x512x7x7
/layer4/layer4.1/relu/Relu                     Relu               25,088          0.00%       100,352      0.05%       0           0.00%       1x512x7x7     1x512x7x7
/layer4/layer4.1/conv2/Conv                    Conv               115,630,592     2.81%       9,539,584    4.59%       2,359,808   9.24%       1x512x7x7     1x512x7x7
/layer4/layer4.1/relu_1/Relu                   Relu               25,088          0.00%       100,352      0.05%       0           0.00%       1x512x7x7     1x512x7x7
/layer4/layer4.1/conv3/Conv                    Conv               51,480,576      1.25%       4,603,904    2.21%       1,050,624   4.12%       1x512x7x7     1x2048x7x7
/layer4/layer4.1/Add                           Add                100,352         0.00%       401,408      0.19%       0           0.00%       1x2048x7x7    1x2048x7x7
/layer4/layer4.1/relu_2/Relu                   Relu               100,352         0.00%       401,408      0.19%       0           0.00%       1x2048x7x7    1x2048x7x7
/layer4/layer4.2/conv1/Conv                    Conv               51,405,312      1.25%       4,296,704    2.07%       1,049,088   4.11%       1x2048x7x7    1x512x7x7
/layer4/layer4.2/relu/Relu                     Relu               25,088          0.00%       100,352      0.05%       0           0.00%       1x512x7x7     1x512x7x7
/layer4/layer4.2/conv2/Conv                    Conv               115,630,592     2.81%       9,539,584    4.59%       2,359,808   9.24%       1x512x7x7     1x512x7x7
/layer4/layer4.2/relu_1/Relu                   Relu               25,088          0.00%       100,352      0.05%       0           0.00%       1x512x7x7     1x512x7x7
/layer4/layer4.2/conv3/Conv                    Conv               51,480,576      1.25%       4,603,904    2.21%       1,050,624   4.12%       1x512x7x7     1x2048x7x7
/layer4/layer4.2/Add                           Add                100,352         0.00%       401,408      0.19%       0           0.00%       1x2048x7x7    1x2048x7x7
/layer4/layer4.2/relu_2/Relu                   Relu               100,352         0.00%       401,408      0.19%       0           0.00%       1x2048x7x7    1x2048x7x7
/avgpool/GlobalAveragePool                     GlobalAveragePool  108,544         0.00%       8,192        0.00%       0           0.00%       1x2048x7x7    1x2048x1x1
/Flatten                                       Flatten            0               0.00%       8,192        0.00%       0           0.00%       1x2048x1x1    1x2048
/fc/Gemm                                       Gemm               2,049,000       0.05%       8,200,000    3.94%       2,049,000   8.03%       1x2048        1x1000
Total                                          _                  4,117,342,184   100%        207,913,280  100%        25,530,472  100%        _             _
